id_estacao,data,temp_max,temp_min,precipitacao_mm,umidade
C003,2023-08-28,32.3,21.1,0.0,84
A001,2023-04-22,30.2,21.2,0.0,84
D004,2023-11-07,33.6,23.1,7.7,69
C003,2023-09-04,23.7,10.5,0.0,65
E005,2023-08-07,35.3,29.4,0.0,88
B002,2023-03-24,24.5,15.3,0.0,49
B002,2023-12-05,22.3,10.6,0.0,62
E005,2023-07-12,33.7,26.4,8.0,85
D004,2023-01-17,21.6,12.9,0.0,33
B002,2023-12-10,34.1,27.9,0.0,57
E005,2023-07-29,37.6,30.2,0.0,93
D004,2023-12-02,26.1,15.9,0.0,71
A001,2023-04-07,32.4,24.8,0.0,52
B002,2023-04-12,33.7,25.3,0.0,53
D004,2023-08-21,31.2,18.8,22.7,69
E005,2023-02-20,33.3,30.0,0.0,85
D004,2023-12-24,30.6,20.1,0.0,36
C003,2023-02-01,25.7,15.1,0.0,67
A001,2023-07-26,31.2,20.7,0.0,82
A001,2023-07-09,21.5,8.6,0.0,31
A001,2023-08-20,24.3,10.7,16.2,43
C003,2023-01-11,22.6,15.3,0.0,61
C003,2023-07-01,22.1,7.2,0.0,65
D004,2023-01-19,21.6,13.3,8.2,41
C003,2023-11-29,32.7,26.5,0.0,40
D004,2023-02-19,31.6,23.4,3.1,82
D004,2023-08-10,27.4,18.9,0.0,71
E005,2023-06-26,31.4,28.1,0.0,76
C003,2023-02-13,30.8,23.7,0.0,76
D004,2023-06-22,24.6,10.2,0.0,53
A001,2023-11-06,32.2,22.4,0.0,41
B002,2023-11-03,35.0,29.6,10.3,67
E005,2023-01-01,30.4,22.7,12.3,76
D004,2023-03-21,21.2,7.1,0.0,61
B002,2023-11-24,33.0,24.2,0.0,81
C003,2023-04-11,28.3,19.4,0.0,65
A001,2023-12-16,27.2,20.7,0.0,33
E005,2023-12-17,31.9,27.6,0.0,73
A001,2023-06-23,27.1,19.0,0.0,58
C003,2023-02-01,34.0,26.7,4.6,61
C003,2023-09-24,33.6,19.5,0.0,53
C003,2023-04-27,22.3,14.5,0.7,38
A001,2023-02-16,28.6,14.9,6.9,45
D004,2023-07-12,25.0,12.2,21.7,34
C003,2023-02-19,21.8,7.3,0.0,36
B002,2023-02-02,26.4,19.9,20.6,60
C003,2023-06-16,34.8,24.9,22.3,34
A001,2023-04-05,24.1,14.0,0.0,34
D004,2023-09-30,32.7,19.7,0.0,53
E005,2023-01-02,36.5,31.8,0.0,87
E005,2023-10-31,29.3,22.9,0.0,78
E005,2023-11-10,30.7,23.1,0.0,80
A001,2023-02-07,25.9,15.6,0.0,60
D004,2023-07-04,32.5,27.4,12.2,62
E005,2023-06-12,36.5,32.5,0.0,85
D004,2023-12-11,33.0,20.6,0.0,41
C003,2023-02-03,22.5,11.3,0.0,79
A001,2023-02-04,33.0,24.4,0.0,35
B002,2023-03-26,22.8,8.0,0.0,65
D004,2023-09-16,22.1,15.1,0.0,30
A001,2023-07-30,34.8,26.0,0.0,77
E005,2023-04-30,35.7,29.4,0.0,75
C003,2023-12-03,28.8,18.8,0.0,41
A001,2023-07-16,30.1,19.2,0.0,78
A001,2023-08-10,29.6,16.5,0.0,83
D004,2023-02-02,29.4,20.3,0.6,74
A001,2023-07-29,32.3,17.9,0.0,62
B002,2023-06-08,23.3,14.7,0.0,60
B002,2023-02-08,30.8,20.3,0.0,74
D004,2023-04-02,26.0,14.6,1.0,56
A001,2023-07-13,20.0,10.8,0.0,82
B002,2023-04-20,28.6,19.7,18.5,71
E005,2023-09-11,31.5,26.5,0.0,73
C003,2023-05-22,34.8,26.4,0.0,82
A001,2023-02-19,26.8,14.6,0.0,38
E005,2023-09-20,33.2,25.7,0.0,84
D004,2023-05-31,24.2,11.9,0.0,61
E005,2023-10-25,29.4,21.9,0.0,84
D004,2023-05-05,34.9,20.6,0.0,53
E005,2023-05-16,32.5,25.5,19.5,91
D004,2023-02-16,25.9,16.7,3.9,78
A001,2023-08-22,26.0,13.9,0.0,50
E005,2023-06-17,34.2,27.0,0.0,84
D004,2023-08-02,22.3,11.6,24.3,65
E005,2023-12-13,29.3,22.4,0.0,73
A001,2023-10-22,24.8,16.1,0.0,57
D004,2023-09-07,25.2,11.1,0.0,75
A001,2023-08-18,28.5,17.1,0.0,84
B002,2023-02-13,21.6,13.7,8.4,59
D004,2023-11-29,33.1,26.8,0.0,49
A001,2023-10-19,23.6,16.1,0.0,49
C003,2023-10-09,25.4,19.5,4.4,49
C003,2023-10-27,22.4,13.7,0.0,65
D004,2023-12-30,29.9,21.1,0.0,60
B002,2023-12-29,26.0,12.2,0.9,49
A001,2023-07-02,25.7,15.2,0.0,70
E005,2023-07-14,31.5,26.1,24.7,80
C003,2023-06-27,24.5,10.5,14.1,79
C003,2023-07-13,26.1,15.4,0.0,49
A001,2023-08-16,24.8,16.1,2.4,72
D004,2023-09-25,31.0,19.0,6.7,84
D004,2023-06-15,33.7,26.2,0.0,73
B002,2023-07-04,31.6,21.2,17.1,35
D004,2023-08-24,20.2,6.1,0.0,74
D004,2023-05-24,20.2,12.3,14.8,74
B002,2023-01-06,22.3,13.8,22.7,65
B002,2023-12-13,32.5,20.8,0.0,69
A001,2023-05-01,20.5,11.2,20.6,63
B002,2023-05-18,20.3,13.7,0.0,56
C003,2023-06-11,29.4,23.8,0.0,55
C003,2023-10-23,25.0,10.9,12.9,56
C003,2023-12-14,27.8,14.7,0.0,64
D004,2023-11-09,28.7,20.9,0.0,61
A001,2023-11-11,30.9,18.6,0.0,72
B002,2023-11-14,30.3,17.7,0.0,30
D004,2023-01-12,25.5,18.4,24.4,60
D004,2023-01-11,23.4,13.4,0.0,52
B002,2023-10-31,25.9,11.5,0.0,34
A001,2023-05-04,26.0,13.7,0.0,37
E005,2023-10-17,29.1,24.8,0.0,77
C003,2023-04-14,25.8,11.9,0.0,62
C003,2023-10-24,24.6,18.1,12.2,48
B002,2023-10-10,31.7,20.1,0.0,75
D004,2023-09-19,25.5,18.1,0.0,72
B002,2023-01-03,34.8,20.7,0.0,33
E005,2023-08-20,29.0,23.5,0.0,93
E005,2023-05-03,29.9,25.3,13.8,83
C003,2023-11-14,31.3,17.4,6.2,54
C003,2023-09-22,26.2,15.1,15.5,50
B002,2023-01-15,23.9,11.1,15.5,42
E005,2023-08-29,28.3,24.4,10.4,74
C003,2023-11-25,26.1,17.6,0.0,31
B002,2023-12-07,21.9,16.5,0.0,49
E005,2023-05-10,34.3,26.7,0.0,70
B002,2023-10-18,25.3,15.7,0.0,45
E005,2023-12-21,34.0,30.8,0.0,91
C003,2023-01-12,22.0,8.1,9.9,42
D004,2023-09-05,24.7,19.1,22.3,38
E005,2023-01-29,28.5,21.5,18.7,93
B002,2023-04-09,31.2,21.2,21.7,43
E005,2023-01-18,31.6,24.8,4.7,79
A001,2023-01-25,26.2,19.9,0.0,71
B002,2023-05-19,29.1,17.9,0.0,59
A001,2023-04-30,22.5,10.1,0.0,62
D004,2023-10-24,23.5,11.2,0.0,38
B002,2023-06-15,21.7,10.7,0.0,44
A001,2023-03-17,22.1,11.9,0.0,77
A001,2023-09-15,32.1,27.1,0.0,62
A001,2023-08-04,22.8,10.2,0.0,68
A001,2023-05-02,27.1,21.6,17.0,61
B002,2023-04-06,28.8,20.7,0.0,60
C003,2023-03-12,29.9,20.9,0.0,41
C003,2023-05-30,20.8,13.0,0.0,61
E005,2023-04-03,36.5,32.8,0.0,83
C003,2023-02-10,30.0,22.1,7.0,50
A001,2023-02-17,23.3,15.6,2.0,39
B002,2023-11-26,31.1,22.3,0.0,40
D004,2023-11-28,26.4,19.0,0.0,62
D004,2023-08-07,22.7,10.9,0.0,45
C003,2023-12-23,24.9,15.6,0.0,31
A001,2023-03-06,31.4,25.9,0.0,40
C003,2023-11-24,31.3,16.4,2.6,55
A001,2023-09-23,22.9,15.3,0.0,72
A001,2023-09-28,22.3,13.5,0.0,30
E005,2023-07-05,31.0,27.1,0.0,72
D004,2023-01-30,32.7,23.9,16.9,78
D004,2023-09-03,23.0,11.5,0.0,54
A001,2023-03-13,25.7,15.3,0.0,84
D004,2023-06-30,31.9,18.6,0.0,79
E005,2023-03-02,37.9,33.7,6.2,83
C003,2023-07-06,25.3,10.8,0.0,32
A001,2023-09-23,28.9,18.6,0.0,32
C003,2023-03-28,33.6,23.8,6.2,79
C003,2023-03-15,20.6,6.2,0.0,63
E005,2023-01-19,32.3,27.7,15.3,73
B002,2023-04-23,25.5,17.1,0.3,34
A001,2023-07-04,24.5,19.4,16.0,63
C003,2023-07-30,24.7,19.3,0.0,51
E005,2023-09-28,29.7,23.6,0.0,75
A001,2023-12-27,21.4,8.5,0.0,38
D004,2023-01-27,31.0,18.9,0.0,74
C003,2023-05-22,24.2,12.7,9.8,55
A001,2023-12-23,26.2,12.4,0.0,71
A001,2023-07-27,31.8,23.8,0.0,78
A001,2023-09-05,23.4,12.3,0.0,73
E005,2023-12-17,28.1,24.8,0.0,75
D004,2023-03-09,29.4,20.0,0.0,72
B002,2023-12-22,21.9,12.2,19.3,33
D004,2023-12-14,20.4,8.2,0.0,85
A001,2023-11-08,23.3,14.0,0.0,41
B002,2023-01-07,28.3,20.6,17.1,66
C003,2023-04-02,34.0,27.5,0.0,79
B002,2023-09-15,21.1,15.9,0.0,63
A001,2023-02-23,20.5,9.5,17.4,82
D004,2023-10-11,26.8,16.0,13.7,38
C003,2023-02-24,23.5,13.2,14.8,78
A001,2023-12-02,31.0,18.8,18.6,60
D004,2023-05-17,22.2,7.2,0.0,54
B002,2023-05-16,20.7,9.6,0.0,62
B002,2023-09-03,28.4,21.6,0.0,30
C003,2023-12-29,22.4,8.4,0.0,31
B002,2023-01-01,33.6,20.9,0.2,41
A001,2023-09-30,26.8,15.4,0.0,61
B002,2023-09-22,29.2,17.8,0.0,77
C003,2023-07-30,34.0,25.3,0.0,84
A001,2023-09-03,23.4,11.0,3.0,71
A001,2023-05-13,24.3,13.1,9.9,44
A001,2023-09-18,28.8,21.0,19.1,58
E005,2023-05-14,33.1,28.0,0.0,80
A001,2023-07-14,25.1,12.0,0.0,53
D004,2023-07-16,33.3,24.0,0.0,51
B002,2023-09-02,26.2,11.6,0.0,51
B002,2023-06-23,30.8,21.7,10.3,31
E005,2023-05-07,34.5,29.9,18.2,70
A001,2023-09-17,32.8,25.7,0.0,33
E005,2023-09-22,28.3,24.9,13.9,88
C003,2023-11-19,33.4,25.3,0.0,46
C003,2023-02-16,20.8,11.9,0.0,79
C003,2023-03-05,28.6,14.5,0.0,75
D004,2023-05-05,21.2,8.5,0.0,69
B002,2023-08-15,25.5,15.3,0.0,42
B002,2023-11-23,27.7,14.4,0.0,74
C003,2023-10-14,30.2,21.1,0.0,61
B002,2023-03-05,26.8,15.3,10.2,63
D004,2023-08-03,23.4,15.0,0.0,78
C003,2023-06-11,22.5,16.9,20.6,36
D004,2023-02-04,20.6,14.6,20.6,55
D004,2023-03-15,23.1,14.4,19.4,57
C003,2023-10-25,33.9,21.4,9.8,77
D004,2023-12-15,29.0,16.6,13.2,42
D004,2023-05-24,26.2,13.3,20.1,71
B002,2023-05-03,22.8,11.8,0.0,78
E005,2023-08-05,33.5,28.3,0.0,90
B002,2023-01-13,23.3,15.8,0.0,58
A001,2023-12-09,21.0,8.4,6.9,43
D004,2023-07-02,34.3,23.5,0.0,83
E005,2023-06-11,28.4,24.6,0.0,92
E005,2023-08-27,34.3,27.3,0.0,79
B002,2023-02-15,31.5,25.3,0.0,64
C003,2023-03-12,28.2,16.3,21.2,56
D004,2023-12-10,34.5,27.8,0.0,31
E005,2023-04-19,30.1,24.1,20.3,81
D004,2023-02-14,21.9,14.1,0.0,33
E005,2023-08-31,36.4,32.9,0.0,74
B002,2023-05-14,33.8,23.0,0.0,62
B002,2023-05-29,34.1,28.1,0.0,79
C003,2023-12-18,25.5,17.9,0.0,66
D004,2023-06-29,33.9,21.2,6.9,39
A001,2023-01-23,21.9,8.3,17.2,53
D004,2023-05-01,28.1,13.4,0.0,59
A001,2023-02-02,33.1,24.5,0.0,85
B002,2023-10-27,33.3,19.4,0.0,64
D004,2023-06-06,21.9,12.1,0.0,83
B002,2023-02-15,27.8,22.5,0.0,42
D004,2023-08-03,27.2,19.7,6.1,46
C003,2023-06-27,27.9,15.2,0.0,64
D004,2023-08-01,22.2,9.8,4.4,79
B002,2023-03-08,24.3,14.5,0.0,67
C003,2023-10-05,24.6,18.1,0.0,70
D004,2023-01-16,31.5,25.1,0.0,55
A001,2023-06-08,21.6,12.4,0.0,39
C003,2023-02-01,28.7,15.3,0.0,67
D004,2023-11-08,26.1,15.5,0.0,54
A001,2023-09-24,20.0,10.7,4.9,52
B002,2023-07-03,30.2,21.4,0.0,52
D004,2023-09-28,22.8,9.2,8.3,38
E005,2023-12-01,28.6,21.0,0.0,73
C003,2023-04-28,34.7,27.0,4.8,33
D004,2023-01-19,20.8,15.6,3.9,81
A001,2023-03-03,21.4,13.9,0.0,31
D004,2023-07-19,21.1,12.4,20.2,32
C003,2023-08-22,27.1,14.0,0.0,54
C003,2023-07-11,31.6,17.0,0.0,40
D004,2023-11-09,25.0,12.2,24.6,71
C003,2023-04-04,30.4,16.7,0.0,54
D004,2023-08-25,29.3,17.9,3.9,69
A001,2023-05-10,24.9,16.6,0.0,71
A001,2023-08-14,26.5,21.0,7.0,43
C003,2023-05-16,24.0,16.7,0.0,63
D004,2023-02-25,29.6,24.4,0.0,45
E005,2023-02-28,34.6,31.1,0.0,88
B002,2023-06-07,27.7,15.6,0.0,44
D004,2023-08-31,33.7,26.2,0.0,54
C003,2023-04-13,32.9,25.4,0.0,31
D004,2023-07-21,25.7,12.9,0.0,74
D004,2023-07-17,22.8,11.7,0.0,52
C003,2023-10-07,26.1,16.2,7.5,54
E005,2023-10-03,28.0,23.6,0.0,80
D004,2023-09-06,20.9,15.2,0.0,36
E005,2023-02-27,33.4,29.0,4.9,87
E005,2023-11-11,30.2,24.7,0.0,89
D004,2023-05-10,31.3,20.2,0.0,64
A001,2023-08-22,22.6,10.1,0.0,58
D004,2023-08-25,28.5,22.6,0.0,71
C003,2023-08-19,22.2,14.6,0.0,69
D004,2023-07-19,30.7,25.5,0.0,67
D004,2023-09-03,26.6,18.1,0.8,34
A001,2023-07-24,22.3,13.7,0.0,54
D004,2023-04-30,32.8,20.7,0.0,34
D004,2023-06-04,28.8,15.4,9.1,39
C003,2023-05-12,20.6,13.6,0.0,57
C003,2023-04-06,22.9,11.4,0.0,55
D004,2023-04-25,21.1,9.7,3.4,72
A001,2023-06-16,33.6,21.9,0.0,73
A001,2023-11-05,23.8,18.0,0.0,43
B002,2023-06-18,34.2,21.5,0.0,49
E005,2023-03-26,32.6,24.8,5.3,81
C003,2023-12-01,34.9,20.1,12.2,76
D004,2023-03-02,28.6,20.7,0.0,45
E005,2023-02-22,34.8,30.7,8.3,82
E005,2023-03-13,33.3,28.6,0.0,85
E005,2023-09-10,32.4,27.5,0.0,87
D004,2023-12-08,34.1,27.7,0.0,75
C003,2023-02-05,29.4,18.1,0.0,62
B002,2023-03-10,27.2,21.8,0.0,74
E005,2023-11-15,32.4,24.8,4.9,78
E005,2023-10-08,33.4,28.7,0.0,86
C003,2023-11-12,20.3,14.1,0.0,50
A001,2023-11-07,28.9,16.9,0.0,73
C003,2023-11-20,21.3,12.5,0.0,31
D004,2023-03-12,29.9,19.8,0.0,32
E005,2023-07-08,34.7,29.4,0.0,79
A001,2023-11-12,24.0,18.0,2.3,32
E005,2023-12-23,35.5,31.9,0.0,74
C003,2023-02-17,28.0,22.7,0.0,37
A001,2023-04-07,29.1,17.0,1.1,40
A001,2023-05-23,21.3,12.5,0.0,42
B002,2023-12-22,28.3,20.0,0.0,69
E005,2023-01-27,36.2,31.5,0.0,82
E005,2023-03-06,34.2,30.8,10.2,86
B002,2023-07-20,26.9,15.5,0.0,83
E005,2023-02-15,35.2,31.2,3.8,89
E005,2023-10-15,28.8,21.7,0.0,93
E005,2023-01-31,32.4,27.7,0.0,75
E005,2023-10-31,30.8,25.2,18.1,89
C003,2023-09-04,28.0,19.2,0.0,62
E005,2023-05-27,30.0,26.0,11.8,89
C003,2023-07-25,20.1,7.7,16.1,55
E005,2023-04-02,35.9,28.0,0.0,75
B002,2023-08-08,27.1,16.5,0.0,35
E005,2023-11-21,35.2,31.1,0.0,80
A001,2023-06-04,20.9,12.3,0.0,51
C003,2023-06-16,26.1,15.1,0.0,80
D004,2023-04-09,29.3,17.9,0.0,31
B002,2023-11-26,22.5,8.7,0.0,61
B002,2023-01-27,34.3,21.2,0.0,53
B002,2023-07-16,28.4,20.6,0.0,42
C003,2023-06-23,20.6,12.4,0.0,44
D004,2023-03-23,30.2,22.3,2.3,46
B002,2023-02-05,34.6,26.7,23.9,30
D004,2023-05-03,27.9,22.5,0.0,71
E005,2023-01-17,30.0,25.7,0.0,70
E005,2023-04-15,29.5,23.3,0.0,95
C003,2023-02-14,28.9,17.5,13.4,32
C003,2023-02-04,28.8,14.9,17.1,43
D004,2023-11-11,34.9,23.2,0.0,65
B002,2023-04-30,28.9,23.8,0.0,62
C003,2023-09-25,30.8,22.4,20.9,60
C003,2023-02-26,24.3,19.0,0.0,74
D004,2023-12-11,24.9,13.4,0.0,62
E005,2023-01-18,34.8,30.9,14.8,95
A001,2023-04-14,29.4,23.2,2.6,69
E005,2023-03-17,32.5,29.1,0.0,78
D004,2023-09-30,29.4,16.0,0.0,45
B002,2023-04-25,26.1,16.7,0.0,32
D004,2023-07-21,32.5,22.2,4.2,38
A001,2023-01-05,30.7,23.0,0.0,85
C003,2023-06-24,30.7,19.3,13.3,32
C003,2023-10-31,21.4,12.9,7.7,41
A001,2023-05-12,23.6,15.5,0.0,61
D004,2023-03-08,26.6,17.9,0.0,83
A001,2023-03-16,30.3,23.7,0.0,56
A001,2023-05-17,32.7,26.1,0.0,60
A001,2023-09-22,29.7,20.6,0.0,38
D004,2023-01-06,21.3,7.3,0.0,51
B002,2023-11-10,28.6,15.5,8.0,43
E005,2023-05-18,36.2,29.3,0.0,78
E005,2023-04-27,31.0,24.8,0.0,80
A001,2023-07-03,25.2,12.7,0.0,83
C003,2023-02-12,21.2,6.4,0.0,75
C003,2023-04-12,25.4,15.9,0.0,72
A001,2023-08-03,26.2,20.9,9.4,79
C003,2023-12-22,30.7,19.5,0.0,36
C003,2023-03-01,20.7,13.1,0.0,85
D004,2023-11-13,23.7,14.4,0.0,46
C003,2023-11-22,28.4,16.6,0.0,64
C003,2023-04-29,20.3,5.7,0.0,85
C003,2023-01-07,22.0,14.1,0.0,49
D004,2023-05-11,33.6,26.0,0.0,79
B002,2023-11-10,24.3,11.1,4.0,85
